Name,Latitude,Longitude,Radius
"Affori, Milan, Italy",45.51411,9.17353,1062.2748434255006
"Assiano, Milan, Italy",45.45053,9.06172,309.9564807483147
"Baggio, Milan, Italy",45.46325,9.09271,1397.885267454946
"Barona, Milan, Italy",45.43372,9.1516,904.1602609112438
"Bicocca, Milan, Italy",45.5215,9.21326,852.057954302136
"Bovisa, Milan, Italy",45.50314,9.16123,827.1983267406943
"Bovisasca, Milan, Italy",45.51556,9.15095,571.9682410962614
"Brera, Milan, Italy",45.47149,9.18773,394.2059282919614
"Bruzzano, Milan, Italy",45.52825,9.18071,838.2052522749979
"Calvairate, Milan, Italy",45.45618,9.22488,680.6923648184016
"Centro Direzionale di Milano, Milan, Italy",45.50214,9.26463,674.3860042024376
"Chiaravalle, Milan, Italy",45.41569,9.2398,791.555730848087
"Chinatown, Milan, Italy",45.46796,9.18178,674.3860042024376
"Cimiano, Milan, Italy",45.50347,9.24881,1205.285910389461
"Città Studi, Milan, Italy",45.47708,9.2266,735.8233409758826
"Comasina, Milan, Italy",45.52632,9.15887,520.7434716533157
"Crescenzago, Milan, Italy",45.51054,9.24386,762.2396035045323
"Dergano, Milan, Italy",45.50412,9.17647,569.2564931215785
"Figino, Milan, Italy",45.49234,9.07852,221.90727403562934
"Forlanini, Milan, Italy",45.45975,9.24691,1114.7562402641547
"Gallaratese, Milan, Italy",45.49671,9.11484,898.1340710248701
"Garegnano, Milan, Italy",45.5047,9.13697,362.55009257966714
"Ghisolfa, Milan, Italy",45.49631,9.16941,403.1926267624619
"Giambellino-Lorenteggio, Milan, Italy",45.44548,9.13233,140.0429503713095
"Gorla, Milan, Italy",45.50591,9.22265,766.293695187956
"Gratosoglio, Milan, Italy",45.41459,9.17122,622.7631689172783
"Greco, Milan, Italy",45.49702,9.21213,614.7058450843538
"Lambrate, Milan, Italy",45.48157,9.25173,1177.632505409058
"Lampugnano, Milan, Italy",45.49164,9.12197,448.1095933027953
"Milano Santa Giulia, Milan, Italy",45.51729,9.1699,674.3860042024376
"Monluè, Milan, Italy",45.45234,9.25377,731.1274320224317
"Morivione, Milan, Italy",45.44099,9.18781,661.621818039008
"Muggiano, Milan, Italy",45.44832,9.06402,1348.4510393895623
"Niguarda, Milan, Italy",45.51841,9.19202,1088.2507618905595
"Nosedo, Milan, Italy",45.43382,9.22137,821.0859654076066
"Ortica, Milan, Italy",45.47096,9.24161,507.83865787188734
"Ponte Lambro, Milan, Italy",45.44241,9.26421,238.70694700207702
"Porta Garibaldi, Milan, Italy",45.47792,9.18475,483.967099009711
"Porta Genova, Milan, Italy",45.45791,9.17457,308.6621963308648
"Porta Lodovica, Milan, Italy",45.45319,9.1893,567.690048240748
"Porta Magenta, Milan, Italy",45.46582,9.178,105.83562440944148
"Porta Monforte, Milan, Italy",45.46713,9.2018,178.8643972157535
"Porta Nuova, Milan, Italy",45.47685,9.19192,206.08387598573626
"Porta Romana, Milan, Italy",45.45691,9.20096,737.0296039824506
"Porta Sempione, Milan, Italy",45.4818,9.16781,1083.913468816144
"Porta Tenaglia, Milan, Italy",45.47766,9.18224,674.3860042024376
"Porta Ticinese, Milan, Italy",45.45771,9.18096,202.51132229825834
"Porta Venezia, Milan, Italy",45.47098,9.19981,587.5926264978599
"Porta Vigentina, Milan, Italy",45.455,9.19577,135.13858701928348
"Porta Vittoria, Milan, Italy",45.46106,9.20677,615.732536630151
"Porta Volta, Milan, Italy",45.48151,9.17755,659.012590851901
"Portello, Milan, Italy",45.4898,9.14631,674.3860042024376
"Prato Centenaro, Milan, Italy",45.50672,9.19921,495.02078090926756
"Precotto, Milan, Italy",45.51542,9.22553,685.1117693356081
"QT8, Milan, Italy",45.48604,9.13842,507.17939874859456
"Quartiere Feltre, Milan, Italy",45.45463,9.08204,309.9123284967328
"Quartiere Musocco, Milan, Italy",45.50416,9.12146,957.6678865780757
"Quarto Cagnino, Milan, Italy",45.46867,9.11144,697.6674758773738
"Quarto Oggiaro, Milan, Italy",45.51675,9.14091,647.9909377558429
"Quinto Romano, Milan, Italy",45.47685,9.08885,271.72719902410233
"Quintosole, Milan, Italy",45.40213,9.20462,1021.8911318308883
"Rogoredo, Milan, Italy",45.43017,9.24401,693.3509576376096
"Ronchetto sul Naviglio, Milan, Italy",45.4381,9.12831,664.4792136538771
"Roserio, Milan, Italy",45.52254,9.09918,1158.3564529323332
"San Cristoforo sul Naviglio, Milan, Italy",45.44218,9.15486,547.5139941289774
"San Siro, Milan, Italy",45.48075,9.12824,1205.6774366566333
"Segnano, Milan, Italy",45.50692,9.20605,417.76884861008904
"Stazione di Milano Centrale, Milan, Italy",45.46439,9.18659,674.3860042024376
"Taliedo, Milan, Italy",45.45144,9.24846,580.0799830510696
"Trenno, Milan, Italy",45.49225,9.10518,1035.535710260606
"Turro, Milan, Italy",45.49453,9.22171,631.0221031624736
"Vaiano Valle, Milan, Italy",45.42893,9.21621,1137.1404923449365
"Vialba, Milan, Italy",45.51491,9.12816,638.4768342925254
"Vigentino, Milan, Italy",45.43373,9.20105,1098.7954807794983
"Villapizzone, Milan, Italy",45.49835,9.14454,667.5537414927924
